method,parameters,n_components,clustering,average_score
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.0}",4,gmm,0.25917787514957497
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.0001}",4,kmeans,0.27013498748207754
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.0001}",4,spectral,0.22560513110018712
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.0001}",4,agglomerative,0.2590971178753498
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.0001}",4,hdbscan,0.40493463365233007
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.0001}",4,gmm,0.25917787514957497
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.001}",4,kmeans,0.27013498748207754
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.001}",4,spectral,0.22560513110018712
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.001}",4,agglomerative,0.2590971178753498
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.001}",4,hdbscan,0.40493463365233007
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.001}",4,gmm,0.25917787514957497
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",5,kmeans,0.23921937610917676
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",5,spectral,0.21588242064466467
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",5,agglomerative,0.27398876918875015
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",5,hdbscan,0.385832323867
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",5,gmm,0.23782317954275584
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",5,kmeans,0.23921937610917676
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",5,spectral,0.21588242064466467
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",5,agglomerative,0.27398876918875015
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",5,hdbscan,0.385832323867
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",5,gmm,0.23782317954275584
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",5,kmeans,0.23921937610917676
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",5,spectral,0.21588242064466467
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",5,agglomerative,0.27398876918875015
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",5,hdbscan,0.385832323867
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",5,gmm,0.23782317954275584
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.0}",5,kmeans,0.23921937610917676
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.0}",5,spectral,0.21691960307774877
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.0}",5,agglomerative,0.27398876918875015
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.0}",5,hdbscan,0.385832323867
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.0}",5,gmm,0.23782317954275584
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.0001}",5,kmeans,0.23921937610917676
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.0001}",5,spectral,0.21691960307774877
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.0001}",5,agglomerative,0.27398876918875015
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.0001}",5,hdbscan,0.385832323867
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.0001}",5,gmm,0.23664334951100857
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.001}",5,kmeans,0.23921937610917676
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.001}",5,spectral,0.21588242064466467
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.001}",5,agglomerative,0.27398876918875015
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.001}",5,hdbscan,0.385832323867
