method,parameters,n_components,clustering,average_score
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.0}",3,spectral,0.11748161772300804
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.0}",3,agglomerative,0.24230670250929065
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.0}",3,hdbscan,0.2589983918284508
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.0}",3,gmm,0.13941477508694217
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.0001}",3,kmeans,0.14192469905370841
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.0001}",3,spectral,0.11748161772300804
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.0001}",3,agglomerative,0.24230670250929065
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.0001}",3,hdbscan,0.2589983918284508
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.0001}",3,gmm,0.13941477508694217
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.001}",3,kmeans,0.14192469905370841
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.001}",3,spectral,0.11748161772300804
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.001}",3,agglomerative,0.24230670250929065
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.001}",3,hdbscan,0.2589983918284508
PCA,"{'n_components': 3, 'svd_solver': 'full', 'tol': 0.001}",3,gmm,0.13941477508694217
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",4,kmeans,0.20335366153028256
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",4,spectral,0.294396356645957
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",4,agglomerative,0.1580826533048323
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",4,hdbscan,0.2587916143879243
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",4,gmm,0.1962572465418233
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",4,kmeans,0.20335366153028256
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",4,spectral,0.294396356645957
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",4,agglomerative,0.1580826533048323
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",4,hdbscan,0.2587916143879243
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.0001}",4,gmm,0.1962572465418233
